Country,Continent,Rank,Title,Artists,Album,Explicit,Duration
Global,Global,1,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
Global,Global,2,Blinding Lights,The Weeknd,After Hours,0,3:20
Global,Global,3,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
Global,Global,4,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
Global,Global,5,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07
Global,Global,6,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
Global,Global,7,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45
Global,Global,8,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03
Global,Global,9,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,0,3:48
Global,Global,10,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
Global,Global,11,GOOBA,6ix9ine,GOOBA,1,2:12
Global,Global,12,Blueberry Faygo,Lil Mosey,Certified Hitmaker,1,2:42
Global,Global,13,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,1,3:16
Global,Global,14,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),0,2:56
Global,Global,15,Break My Heart,Dua Lipa,Future Nostalgia,0,3:41
Global,Global,16,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,1,3:43
Global,Global,17,Intentions (feat. Quavo),"Justin Bieber, Quavo",Changes,0,3:32
Global,Global,18,In Your Eyes,The Weeknd,After Hours,1,3:57
Global,Global,19,Sunday Best,Surfaces,Where the Light Is,0,2:38
Global,Global,20,Say So,Doja Cat,Hot Pink,1,3:57
Global,Global,21,Falling,Trevor Daniel,Nicotine,0,2:39
Global,Global,22,Savage Remix (feat. Beyoncé),"Megan Thee Stallion, Beyoncé",Savage Remix (feat. Beyoncé),1,4:02
Global,Global,23,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55
Global,Global,24,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,0,3:02
Global,Global,25,Yo Perreo Sola,Bad Bunny,YHLQMDLG,0,2:52
Global,Global,26,Circles,Post Malone,Hollywood's Bleeding,0,3:35
