rev_name,artist,rev_art_score
aaron leitko,autechre,7.1979381443299
abby garnett,larry gus,7.02
abigail covington,towkio,7.05
abigail garnett,daniel.t.,7.175
adam dlugacz,rival schools,6.3
adam moerder,datarock,6.15167464114833
adam ohler,the (international) noise conspiracy,4.2
adrienne day,ladyfinger (ne),6.2
al shipley,morcheeba,6.0
alan light,stevie wonder,9.4
alan smithee,statistics,4.0
alex lindhart,optimo,7.9
alex linhardt,tom moulton,7.61666666666667
alexander iadarola,n.m.o.,7.5
alexander lloyd linhardt,spacemen 3,7.45882352941177
alison fields,ryan adams,5.81086956521739
allison hussey,marisa anderson,6.58461538461539
amanda petrusich,lady gaga,7.3715
amanda petrusich ,etta james,9.0
amy granzin,reading rainbow,7.06792452830189
amy phillips,cat power,6.0
andi rowlands,thalia zedek,8.25
andrew bryant,gang gang dance,6.6969696969697
andrew gaerig,"ricardo villalobos, umho",6.88222222222222
andrew goldman,"big'n, oxes",7.65
andrew lehman,john vanderslice,6.0
andrew nosnitsky,de la soul,9.1
andrew ryce,the weeknd,7.01896551724138
andy battaglia,autre ne veut,7.56486486486486
andy beta,yotam avni,7.4688
"andy beta, brandon stosuy & mark richardson",various artists,7.8
andy emitt,fake boyfriend,7.65
andy linhardt,dj andy smith,7.0
andy o' connor,deiphago,7.3
andy o'connor,khemmis,7.38507462686567
angus finlayson,patten,7.27692307692308
anupa mistry,junglepussy,7.72142857142857
austin gaines,earth,6.81428571428571
b michael payne,dustin wong,7.7
b. david zarley,active child,6.65
barry walters,kate bush,8.86666666666667
beatty & garrett,catherine wheel,5.68571428571429
ben scheim,kjartan sveinsson,7.65
ben westhoff,caithlin de marrais,6.51818181818182
benjamin scheim,jamire williams,7.21724137931035
bill morris,unwed sailor,5.65
bob o. mcmillan,electronicat,3.5
bob stanley,bee gees,7.2
brad haywood,dillinger four,6.65217391304348
brad haywood & ryan schreiber,the get up kids,3.1
brad hurst,enon,7.48571428571429
brad nelson,dawn richard,7.27142857142857
brandon soderberg,rimar,7.33333333333333
brandon stosuy,nothing,7.49375
brandon wall,"bright eyes, britt daniel",7.9
brendan mattox,jherek bischoff,6.8
brendan reid,buzzcocks,6.85172413793104
brent dicrescenzo,beastie boys,6.16344086021505
brent s. sirota,ignatz,8.01666666666667
brian burlage,loscil,7.25
brian howe,ben frost,7.05760000000001
brian howe & brandon stosuy,flotation toy warning,7.4
brian james,eric idle,6.02380952380952
britt julious,k. michelle,7.44444444444444
brock kappers,the mooney suzuki,7.5
bruce tiffee,poster children,8.1
cameron cook,simian mobile disco,7.08571428571429
cameron macdonald,jason forrest,7.22241379310345
camilo arturo leslie,tram,6.94666666666667
carl wilson,frog eyes,8.5
carrie battan,tove lo,6.90333333333333
carvell wallace,nina simone,9.83333333333333
caryn rose,mike watt,8.0
casey rea,nathan michel,7.9
catherine lewis,eszter balint,4.8
chip chanko,les savy fav,7.56923076923077
"choppa moussaoui, with help from mullah omar, ethan p, and ",obie trice,5.1
chris dahlen,the books,7.35467289719627
chris dahlen & ryan schreiber,audioslave,1.7
"chris dahlen, dominique leone & joe tangari",yes,8.1
chris drabick,paul burch,5.0
chris randle,dyke drama,6.45
chris weber,cex,7.8
christine kakaire,richie hawtin,6.5
christopher dare,morcheeba,7.20645161290323
christopher f. schiel,stereo total,7.2
christopher sebela,jawbreaker,5.03333333333333
christopher weber,ativin,5.5
claire lobenfeld,katie gately,6.56
clayton purdom,cfcf,6.76
colin joyce,crying,7.092
colin st. john,woodsman,6.46666666666667
corban goble,sturgill simpson,6.72692307692308
corbin reiff,low,7.35
cory byrom,blight,6.36
cory d. byrom,ad astra per aspera,6.50793650793651
cosmo lee,immortal,7.12765957446809
craig griffith,90 day men,5.825
craig jenkins,ramriddlz,7.24528301886793
craig rostron,the austerity program,8.0
d. erik kempke,frank black & the catholics,6.6
d. shawn bosler,cheer-accident,7.48888888888889
dan gardopee,broadcast,7.4
dan kilian,triangle,7.08571428571429
dan kilian & ryan schreiber,the white stripes,9.0
dan lett,hymie's basement,7.13846153846154
dan miron,ween,7.7
daniel crumb,damien jurado,7.2
daniel martin-mccormick,dungen,6.33333333333333
daphne a. brooks,erykah badu,9.2
daphne carr,black cat music,7.5
dave stelfox,infinite livez,7.825
david bevan,nick diamonds,7.22
david bevan ,nat baldwin,7.22631578947369
david drake,gucci mane,7.38939393939394
david glickman,uranium club,7.275
david m. pecoraro,flying luttenbachers,7.18627450980392
david moore,limblifter,6.84642857142857
david raposa,primitive weapons,6.52709677419355
david turner,kevin abstract,6.67142857142857
dean van nguyen,"smoke dza, pete rock",6.92307692307692
derek miller,entrance,6.87368421052632
devon maloney,chumped,7.03636363636364
dominique leone,queen,7.49560439560439
dorian lynskey,leonard cohen,9.5
douglas wolk,various artists,6.6734375
dr. andy beta,bobby birdman,3.3
drew daniel,throbbing gristle,8.6
drew gaerig,keita sano,7.4
edward howard,juno,6.7
"edwin ""stats"" houghton",rainbow arabia,6.5
edwin stats houghton,common,7.9
emilie friedlander,gary war,7.1125
eric carr,smog,6.68203125
eric grandy,new build,6.55625
eric harvey,ice cube,6.58088235294118
eric torres,kelela,6.9
erin macleod,a tribe called red,7.8
ernest wilkins,hxlt,6.62857142857143
estelle tang,la sera,6.9
ethan p.,eminem,7.4
evan mcgarvey,catfish haven,5.74090909090909
evan minsker,tyvek,7.023
evan rytlewski,alex izenberg,6.51509433962264
felipe delerme,various artists,7.375
finn cohen,pixelord,7.3
gabriel szatan,shackleton,6.71666666666667
grayson currin,lumbar,7.04532871972318
grayson haver currin,pallbearer,7.39117647058824
hank shteamer,demilich,7.7
hannah giorgis,lianne la havas,7.7
hari ashurst,estasy,6.69189189189189
harley brown,white sea,6.56785714285714
hartley goldstein,biz markie,6.82
hazel cills,eleanor friedberger,7.01764705882353
hefner macauley,the beach boys,8.35
ian cohen,the lox,6.35393419170243
ilana kaplan,mothers,6.95
isaiah violante,cephalic carnage,7.3
israel daramola,"gucci mane, lil uzi vert",6.87272727272727
j. edward keyes,various artists,7.3625
j. wasserman,klezmatics,8.0
j.h. tompkins,bad religion,8.5
jake cleland,dick diver,6.96666666666667
jakob dorof,mariah,8.15
james p. wisdom,tindersticks,7.17333333333333
jamieson cox,george fitzgerald,6.8452380952381
jamin warren,rob swift,7.188
jared bane,the jon spencer blues explosion,7.1
jascha hoffman,savath y savalas,6.9
jason crock,coliseum,6.84440298507462
jason heller,neurosis,7.15267857142857
jason josephes,the kinks,7.41666666666667
jason nickey,the impossible shapes,6.61692307692308
jay balfour,jay daniel,6.73684210526316
jayson greene,various artists,7.10635451505017
jazz monroe,katie dey,6.73157894736842
jedediah gilchrist,weird war,4.66666666666667
jeff leven,calla,7.25
jeff weiss,michael jackson,8.1125
jenn pelly,"kleenex, liliput",8.05609756097561
jeremy d. larson,unknown mortal orchestra,6.9030303030303
jeremy gordon,red hot chili peppers,7.0
jeremy larson,ghost wave,6.4
jeremy schneyer,superchunk,7.27142857142857
jes skolnik,body/head,7.265
jess harvell,pig destroyer,7.08498168498169
