s_name,s_artist,s_energy,s_genre
,,,
All U Writers,!!!,0.814,Electronic
Californiyeah,!!!,0.65,Electronic
Dear Can,!!!,0.876,Electronic
Even When The Water's Cold,!!!,0.831,Alternative
Five Companies,!!!,0.744,Electronic
Funk (I Got This),!!!,0.546,Electronic
Get That Rhythm Right,!!!,0.798,Electronic
Hello? Is This Thing On?,!!!,0.677,Electronic
Lucy Mongoosey,!!!,0.584,Electronic
Me and Guiliani Down by the School Yard - A True Story,!!!,0.81,Electronic
Must Be The Moon,!!!,0.886,Electronic
Myth Takes,!!!,0.77,Electronic
NRGQ,!!!,0.889,Electronic
One Girl / One Boy,!!!,0.851,Electronic
Ooo,!!!,0.839,Electronic
Our Love (U Can Get),!!!,0.909,Electronic
Pardon My Freedom,!!!,0.893,Electronic
R Rated Pictures,!!!,0.721,Electronic
Sick Ass Moon,!!!,0.83,Electronic
Slyd,!!!,0.717,Electronic
Throw Yourself In The River,!!!,0.855,Electronic
"Amish Paradise (Parody of ""Gangsta's Paradise"" by Coolio)","""Weird Al"" Yankovic",0.448,Rock
Billy Boy,$NOT,0.62,Hip-Hop
Excuse Me,$NOT,0.306,Hip-Hop
GOSHA,$NOT,0.462,Hip-Hop
Mando (feat. Mozzy),$tupid Young,0.663,Rap
#1 Stunna,$uicideBoy$,0.489,Hip-Hop
$outh $ide $uicide,$uicideBoy$,0.516,Hip-Hop
"10,000 Degrees",$uicideBoy$,0.727,Hip-Hop
122 Days,$uicideBoy$,0.381,Hip-Hop
20th CENTURION,$uicideBoy$,0.74,Rap
275 $uicide,$uicideBoy$,0.842,Hip-Hop
2nd Hand,$uicideBoy$,0.422,Hip-Hop
A Girl Named Drool And A Pack of Kools,$uicideBoy$,0.491,Hip-Hop
AM/PM,$uicideBoy$,0.555,Hip-Hop
BREAKDALAW2K16,$uicideBoy$,0.684,Hip-Hop
Bring Out Your Dead,$uicideBoy$,0.896,Rap
Carrollton,$uicideBoy$,0.52,Rap
Champion Of Death,$uicideBoy$,0.918,Rap
Cherish The Dead,$uicideBoy$,0.564,Hip-Hop
Cherry P.I.E.,$uicideBoy$,0.673,Hip-Hop
Cold Turkey,$uicideBoy$,0.67,Hip-Hop
Coma,$uicideBoy$,0.791,Hip-Hop
Do You Believe In God?,$uicideBoy$,0.534,Hip-Hop
Eclipse,$uicideBoy$,0.603,Hip-Hop
Either Hated Or Ignored,$uicideBoy$,0.749,Rap
Elysian Fields,$uicideBoy$,0.717,Hip-Hop
FUCK,$uicideBoy$,0.738,Hip-Hop
FUCKALLOFYOU2K18,$uicideBoy$,0.745,Rap
FUCKTHEPOPULATION,$uicideBoy$,0.576,Rap
For The Last Time,$uicideBoy$,0.507,Hip-Hop
Gloss Of Blood,$uicideBoy$,0.416,Rap
Goosebumps,$uicideBoy$,0.742,Hip-Hop
HUNG UP ON THE COME UP,$uicideBoy$,0.817,Rap
I No Longer Fear The Razor Guarding My Heel (IV),$uicideBoy$,0.603,Hip-Hop
I Want To Believe,$uicideBoy$,0.819,Hip-Hop
I Will Celebrate For Stepping On Broken Glass And Slipping On Stomach Soaked Floors,$uicideBoy$,0.784,Hip-Hop
I'm Done.,$uicideBoy$,0.875,Rap
INTROVERSION 2.0,$uicideBoy$,0.737,Hip-Hop
Iron Veil,$uicideBoy$,0.582,Hip-Hop
Kill Yourself,$uicideBoy$,0.69,Hip-Hop
Kill Yourself (Part III),$uicideBoy$,0.679,Rap
King Tulip,$uicideBoy$,0.579,Hip-Hop
Krewe du Vieux (Comedy & Tragedy),$uicideBoy$,0.585,Hip-Hop
LTE,$uicideBoy$,0.486,Hip-Hop
Leave Your Things Behind II,$uicideBoy$,0.469,Hip-Hop
Long Gone (Save Me From This Hell),$uicideBoy$,0.632,Hip-Hop
Lucky Me,$uicideBoy$,0.619,Rap
Magazine,$uicideBoy$,0.897,Hip-Hop
Meet Mr. NICEGUY,$uicideBoy$,0.495,Hip-Hop
Memoirs Of A Gorilla,$uicideBoy$,0.981,Rap
Mount Sinai,$uicideBoy$,0.444,Rap
Muddy Blunts,$uicideBoy$,0.633,Hip-Hop
My Flaws Burn Through My Skin Like Demonic Flames from Hell,$uicideBoy$,0.737,Rap
My Scars Are Like Evidence Being Mailed To The Judge,$uicideBoy$,0.569,Hip-Hop
